210103125;04;1+1+0+0
210103125;05;0+0+0+0
210103125;06;0+0+0+0
210103125;07;1+1+1+1
210103125;08;1+1+1+1
210103125;09;1+0+0+0
210103125;10;0+0+0+0
210103125;11;0
210103126;01;0+0+0+0
210103126;02;0+0+0+0
210103126;03;0+0+0+0
210103126;04;0+0+0+0
210103126;05;0+0+0+0
210103126;06;0+0+0+0
210103126;07;0+0+0+0
210103126;08;0+0+0+0
210103126;09;0+0+0+0
210103126;10;0+0+0+0
210103126;11;0
210103127;01;1+0+1+0
210103127;02;1+0+0+0
210103127;03;0+0+0+0
210103127;04;1+1+0+0
210103127;05;0+0+0+0
210103127;06;0+0+0+0
210103127;07;1+0+0+0
210103127;08;1+0+0+0
210103127;09;0+0+0+0
210103127;10;0+0+0+0
210103127;11;0
210104009;01;1+0+1+0
210104009;02;1+0+0+0
210104009;03;0+0+0+0
210104009;04;1+0+0+0
210104009;05;0+0+0+0
210104009;06;0+0+0+0
210104009;07;1+1+1+1
210104009;08;0+0+0+0
210104009;09;0+0+0+0
210104009;10;0+0+0+0
210104009;11;0
210104053;01;1+0+1+0
210104053;02;0+0+0+0
210104053;03;0+0+0+0
210104053;04;1+0+0+0
210104053;05;0+0+0+0
210104053;06;1+1+1+0
210104053;07;1+1+1+1
210104053;08;0+0+0+0
210104053;09;0+0+0+0
210104053;10;0+0+0+0
210104053;11;0
210107001;01;1+0+1+0
210107001;02;0+0+0+0
210107001;03;0+0+0+0
210107001;04;0+0+0+0
210107001;05;0+0+0+0
210107001;06;0+0+0+0
210107001;07;0+0+0+0
210107001;08;0+0+0+0
210107001;09;0+0+0+0
210107001;10;0+0+0+0
210107001;11;0
210107016;01;1+0+0+0
210107016;02;0+0+0+0
210107016;03;1+0+0+0
210107016;04;1+1+0+0
210107016;05;0+0+0+0
210107016;06;0+0+0+0
210107016;07;0+0+0+0
210107016;08;0+0+0+0
210107016;09;0+0+0+0
210107016;10;0+0+0+0
210107016;11;0
210107023;01;1+0+1+0
210107023;02;0+0+0+0
210107023;03;0+0+0+0
210107023;04;1+1+0+0
210107023;05;0+0+0+0
210107023;06;0+0+0+0
210107023;07;0+0+0+0
210107023;08;0+0+0+0
210107023;09;0+0+0+0
210107023;10;0+0+0+0
210107023;11;0
210107034;01;0+0+0+0
210107034;02;0+0+0+0
210107034;03;0+0+0+0
210107034;04;0+0+0+0
210107034;05;0+0+0+0
210107034;06;0+0+0+0
210107034;07;0+0+0+0
210107034;08;0+0+0+0
210107034;09;0+0+0+0
210107034;10;0+0+0+0
210107034;11;0
210107044;01;1+0+0+0
210107044;02;0+0+0+0
210107044;03;0+0+0+0
210107044;04;1+1+0+0
210107044;05;0+0+0+0
210107044;06;0+0+0+0
210107044;07;0+0+0+0
210107044;08;0+0+0+0
210107044;09;1+0+0+0
210107044;10;0+0+0+0
210107044;11;0
210107067;01;1+0+1+0
210107067;02;0+0+0+0
210107067;03;0+0+0+0
210107067;04;1+1+0+0
210107067;05;0+0+0+0
210107067;06;0+0+0+0
210107067;07;0+0+0+0
210107067;08;0+0+0+0
210107067;09;0+0+0+0
210107067;10;0+0+0+0
210107067;11;0
210107069;01;1+0+1+0
