210121069-18;1+2+3+4+5+6+7+8+9+10+11
210121069-19;1+2+3+4+5+6+7+8+9+10+11
210121069-20;1+2+3+4+5+6+7+8+9+10+11
220101035-17;1+2+3+4+5+6+7+8+9+10+11
220101035-18;1+2+3+4+5+6+7+8+9+10+11
220101035-19;1+2+3+4+5+6+7+8+9+10+11
220101035-20;1+2+3+4+5+6+7+8+9+10+11
220121073-17;1+2+3+4+5+6+7+8+9+10+11
220121073-18;1+2+3+4+5+6+7+8+9+10+11
220121073-19;1+2+3+4+5+6+7+8+9+10+11
220121073-20;1+2+3+4+5+6+7+8+9+10+11
220123012-17;1+2+3+4+5+6+7+8+9+10+11
220123012-18;1+2+3+4+5+6+7+8+9+10+11
220123012-19;1+2+3+4+5+6+7+8+9+10+11
220123012-20;1+2+3+4+5+6+7+8+9+10+11
